InstanceID	f1	f2	Class
Inst_1	5.901487	5.176487	0
Inst_2	6.917943	3.979710	0
Inst_3	5.247007	3.628324	0
Inst_4	5.739169	4.287560	0
Inst_5	5.157673	6.212658	0
Inst_6	4.836749	3.978392	0
Inst_7	4.590970	5.547353	0
Inst_8	3.895904	5.350865	0
Inst_9	4.312977	3.853151	0
Inst_10	5.844978	5.450767	0
Inst_11	4.009195	5.108031	0
Inst_12	4.680056	4.825999	0
Inst_13	5.419040	5.655501	0
Inst_14	4.722474	4.583319	0
Inst_15	5.363081	4.628764	0
Inst_16	4.511716	5.261163	0
Inst_17	5.465874	4.535013	0
Inst_18	5.193280	6.846693	0
Inst_19	6.582429	2.915993	0
Inst_20	6.590943	2.639753	0
Inst_21	6.294492	6.677163	1
Inst_22	6.566073	7.204006	1
Inst_23	5.630044	7.419109	1
Inst_24	7.993744	7.564051	1
Inst_25	7.820009	7.478450	1
Inst_26	7.560469	6.421396	1
Inst_27	8.459335	7.421451	1
Inst_28	8.021679	6.235817	1
Inst_29	8.931890	7.011418	1
Inst_30	7.133889	7.179373	1
Inst_31	8.438585	7.244169	0 
Inst_32	7.920969	7.646627	0
Inst_33	7.195343	7.560771	0
Inst_34	8.361638	6.982595	0
Inst_35	8.896377	8.402321	0
